seq_id	sample	nread
LPASA1000-22	G9FAFS	19
LPASA1001-22	G9FAFS	25
LPASA1002-22	G9FAFS	11
LPASA1003-22	G9FAFS	19
LPASA1004-22	G9FAFS	26
LPASA1005-22	G9FAFS	31
LPASA1006-22	G9FAFS	28
LPASA1007-22	G9FAFS	30
LPASA1008-22	G9FAFS	27
LPASA1009-22	G9FAFS	18
LPASA1010-22	G9FAFS	30
LPASA1011-22	G9FAFS	26
LPASA1012-22	G9FAFS	26
LPASA1013-22	G9FAFS	22
LPASA1015-22	G9FAFS	15
LPASA1016-22	G9FAFS	38
LPASA1017-22	G9FAFS	49
LPASA1018-22	G9FAFS	22
LPASA1019-22	G9FAFS	13
LPASA1020-22	G9FAFS	28
LPASA1021-22	G9FAFS	31
LPASA1022-22	G9FAFS	27
LPASA1023-22	G9FAFS	22
LPASA1024-22	G9FAFS	29
LPASA1025-22	G9FAFS	20
LPASA1026-22	G9FAFS	21
LPASA1027-22	G9FAFS	52
LPASA1028-22	G9FAFS	35
LPASA1029-22	G9FAFS	19
LPASA1030-22	G9FAFS	38
LPASA1031-22	G9FAFS	33
LPASA1032-22	G9FAFS	23
LPASA1033-22	G9FAFS	26
LPASA1034-22	G9FAFS	24
LPASA1035-22	G9FAFS	28
LPASA1036-22	G9FAFS	33
LPASA1037-22	G9FAFS	14
LPASA1038-22	G9FAFS	13
LPASA1039-22	G9FAFS	13
LPASA1040-22	G9FAFS	3
LPASA1041-22	G9FAFS	6
LPASA1043-22	G9FAFS	5
LPASA1044-22	G9FAFS	3
LPASA1047-22	G9FAFS	6
LPASA1048-22	G9FAFS	19
LPASA1049-22	G9FAFS	17
LPASA1050-22	G9FAFS	5
LPASA1051-22	G9FAFS	16
LPASA1052-22	G9FAFS	34
LPASA1053-22	G9FAFS	34
LPASA1054-22	G9FAFS	29
LPASA1055-22	G9FAFS	23
LPASA1056-22	G9FAFS	3
LPASA1057-22	G9FAFS	6
LPASA1058-22	G9FAFS	13
LPASA1059-22	G9FAFS	6
LPASA1060-22	G9FAFS	14
LPASA1061-22	G9FAFS	32
LPASA1062-22	G9FAFS	15
LPASA1063-22	G9FAFS	7
LPASA1064-22	G9FAFS	4
LPASA1066-22	G9FAFS	38
LPASA1067-22	G9FAFS	27
LPASA1068-22	G9FAFS	24
LPASA1069-22	G9FAFS	32
LPASA1070-22	G9FAFS	23
LPASA1071-22	G9FAFS	15
LPASA1072-22	G9FAFS	34
LPASA1073-22	G9FAFS	18
LPASA1074-22	G9FAFS	19
LPASA1075-22	G9FAFS	38
LPASA1076-22	G9FAFS	5
LPASA1078-22	G9FAFS	7
LPASA1080-22	G9FAFS	27
LPASA1081-22	G9FAFS	4
LPASA1082-22	G9FAFS	10
LPASA1084-22	G9FAFS	6
LPASA1085-22	G9FAFS	19
LPASA1086-22	G9FAFS	25
LPASA1087-22	G9FAFS	31
LPASA1088-22	G9FAFS	40
LPASA1089-22	G9FAFS	34
LPASA1090-22	G9FAFS	21
LPASA1091-22	G9FAFS	21
LPASA1092-22	G9FAFS	21
LPASA1093-22	G9FAFS	30
LPASA1094-22	G9FAFS	3
LPASA1095-22	G9FAFS	29
LPASA1096-22	G9FAFS	31
LPASA1097-22	G9FAFS	33
LPASA1098-22	G9FAFS	21
LPASA1099-22	G9FAFS	23
LPASA1100-22	G9FAFS	23
LPASA1101-22	G9FAFS	17
LPASA1102-22	G9FAFS	28
LPASA1103-22	G9FAFS	3
LPASA1104-22	G9FAFS	13
LPASA1105-22	G9FAFS	6
LPASA1106-22	G9FAFS	6
LPASA1107-22	G9FAFS	9
LPASA1108-22	G9FAFS	15
LPASA1109-22	G9FAFS	9
LPASA1110-22	G9FAFS	3
LPASA1111-22	G9FAFS	32
LPASA1112-22	G9FAFS	16
LPASA1113-22	G9FAFS	7
LPASA1114-22	G9FAFS	8
LPASA1115-22	G9FAFS	8
LPASA1116-22	G9FAFS	19
LPASA1117-22	G9FAFS	9
LPASA1118-22	G9FAFS	31
LPASA1119-22	G9FAFS	14
LPASA1120-22	G9FAFS	6
LPASA1121-22	G9FAFS	11
LPASA1122-22	G9FAFS	7
LPASA1123-22	G9FAFS	3
LPASA1124-22	G9FAFS	4
LPASA1125-22	G9FAFS	3
LPASA1126-22	G9FAFS	4
LPASA1127-22	G9FAFS	6
LPASA1128-22	G9FAFS	4
LPASA1130-22	G9FAFS	4
LPASA1131-22	G9FAFS	3
LPASA1132-22	G9FAFS	17
LPASA1133-22	G9FAFS	8
LPASA1134-22	G9FAFS	5
LPASA1135-22	G9FAFS	21
LPASA1136-22	G9FAFS	4
LPASA1137-22	G9FAFS	9
LPASA1138-22	G9FAFS	22
LPASA1139-22	G9FAFS	18
LPASA1140-22	G9FAFS	17
LPASA1141-22	G9FAFS	21
LPASA1142-22	G9FAFS	16
LPASA1143-22	G9FAFS	4
LPASA1144-22	G9FAFS	8
LPASA1145-22	G9FAFS	6
LPASA1146-22	G9FAFS	13
LPASA1147-22	G9FAFS	4
LPASA1148-22	G9FAFS	6
LPASA1149-22	G9FAFS	5
LPASA1150-22	G9FAFS	4
LPASA1151-22	G9FAFS	3
LPASA1153-22	G9FAFS	11
LPASA1154-22	G9FAFS	4
LPASA1155-22	G9FAFS	6
LPASA1156-22	G9FAFS	4
LPASA1159-22	G9FAFS	24
LPASA1160-22	G9FAFS	4
LPASA1161-22	G9FAFS	28
LPASA1162-22	G9FAFS	29
LPASA1163-22	G9FAFS	3
LPASA1164-22	G9FAFS	26
LPASA1165-22	G9FAFS	3
LPASA1166-22	G9FAFS	3
LPASA1167-22	G4FG95	15
LPASA1168-22	G4FG95	17
LPASA1169-22	G4FG95	19
LPASA1170-22	G4FG95	32
LPASA1171-22	G4FG95	18
LPASA1172-22	G4FG95	35
LPASA1173-22	G4FG95	26
LPASA1174-22	G4FG95	45
LPASA1175-22	G4FG95	28
LPASA1176-22	G4FG95	9
LPASA1177-22	G4FG95	22
LPASA1178-22	G4FG95	11
LPASA1179-22	G4FG95	30
LPASA1180-22	G4FG95	36
LPASA1181-22	G4FG95	33
LPASA1182-22	G4FG95	31
LPASA1183-22	G4FG95	25
LPASA1184-22	G4FG95	36
LPASA1185-22	G4FG95	30
LPASA1186-22	G4FG95	27
LPASA1187-22	G4FG95	26
LPASA1188-22	G4FG95	24
LPASA1189-22	G4FG95	42
LPASA1190-22	G4FG95	34
LPASA1191-22	G4FG95	25
LPASA1192-22	G4FG95	29
LPASA1193-22	G4FG95	33
LPASA1194-22	G4FG95	33
LPASA1195-22	G4FG95	30
LPASA1196-22	G4FG95	22
LPASA1197-22	G4FG95	27
LPASA1198-22	G4FG95	30
LPASA1199-22	G4FG95	21
LPASA1200-22	G4FG95	23
LPASA1201-22	G4FG95	16
LPASA1202-22	G4FG95	24
LPASA1203-22	G4FG95	22
LPASA1204-22	G4FG95	31
LPASA1205-22	G4FG95	32
LPASA1206-22	G4FG95	37
LPASA1207-22	G4FG95	42
LPASA1208-22	G4FG95	22
LPASA1209-22	G4FG95	34
LPASA1210-22	G4FG95	27
LPASA1211-22	G4FG95	33
LPASA1212-22	G4FG95	26
LPASA1213-22	G4FG95	32
LPASA1214-22	G4FG95	20
