seqrun	sample	neg_control	pos_control	cut_R2	fastq_R1	fastq_R2
BIONAME-LP01_L001	HYY111_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY111_S524_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY111_S524_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY112_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY112_S525_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY112_S525_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY113_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY113_S526_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY113_S526_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY114_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY114_S527_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY114_S527_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY115_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY115_S528_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY115_S528_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY116_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY116_S529_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY116_S529_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY117_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY117_S530_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY117_S530_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY121_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY121_S531_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY121_S531_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY122_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY122_S532_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY122_S532_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY123_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY123_S533_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY123_S533_L001_R2_001.fastq.gz
BIONAME-LP01_L001	HYY124_Rep1	FALSE	FALSE	0	BIONAME-LP01/data/LIFEP-GSSP-1-HYY124_S534_L001_R1_001.fastq.gz	BIONAME-LP01/data/LIFEP-GSSP-1-HYY124_S534_L001_R2_001.fastq.gz
