seqrun	sample	neg_control	cut_R2	fastq_R1	fastq_R2
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg1_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg1_S308_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg1_S308_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg10_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg10_S1123_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg10_S1123_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg11_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg11_S1219_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg11_S1219_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg12_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg12_S1312_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg12_S1312_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg2_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg2_S400_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg2_S400_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg3_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg3_S488_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg3_S488_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg4_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg4_S580_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg4_S580_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg5_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg5_S676_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg5_S676_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg6_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg6_S756_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg6_S756_L001_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L001	BIONAME_LifePlan_batch1_2023_L001_Neg7_Rep1	TRUE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg7_S850_L001_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-1-Neg7_S850_L001_R2_001.fastq.gz
