sample	seqrun	fastq_R1	fastq_R2	orient
GHBZE6_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GHBZE6_Rep1.R1.fastq.gz	LIFEPLAN-00001/GHBZE6_Rep1.R2.fastq.gz	fwd
GHBZE6_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GHBZE6_Rep2.R1.fastq.gz	LIFEPLAN-00001/GHBZE6_Rep2.R2.fastq.gz	fwd
GHBZE6_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GHBZE6_Rep3.R1.fastq.gz	LIFEPLAN-00001/GHBZE6_Rep3.R2.fastq.gz	fwd
GFY9P1_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GFY9P1_Rep1.R1.fastq.gz	LIFEPLAN-00001/GFY9P1_Rep1.R2.fastq.gz	fwd
GFY9P1_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GFY9P1_Rep2.R1.fastq.gz	LIFEPLAN-00001/GFY9P1_Rep2.R2.fastq.gz	fwd
GFY9P1_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GFY9P1_Rep3.R1.fastq.gz	LIFEPLAN-00001/GFY9P1_Rep3.R2.fastq.gz	fwd
GZYBSA_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GZYBSA_Rep1.R1.fastq.gz	LIFEPLAN-00001/GZYBSA_Rep1.R2.fastq.gz	fwd
GZYBSA_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GZYBSA_Rep2.R1.fastq.gz	LIFEPLAN-00001/GZYBSA_Rep2.R2.fastq.gz	fwd
GZYBSA_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GZYBSA_Rep3.R1.fastq.gz	LIFEPLAN-00001/GZYBSA_Rep3.R2.fastq.gz	fwd
GC1X7F_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GC1X7F_Rep1.R1.fastq.gz	LIFEPLAN-00001/GC1X7F_Rep1.R2.fastq.gz	fwd
GC1X7F_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GC1X7F_Rep2.R1.fastq.gz	LIFEPLAN-00001/GC1X7F_Rep2.R2.fastq.gz	fwd
GC1X7F_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GC1X7F_Rep3.R1.fastq.gz	LIFEPLAN-00001/GC1X7F_Rep3.R2.fastq.gz	fwd
GSN2JT_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GSN2JT_Rep1.R1.fastq.gz	LIFEPLAN-00001/GSN2JT_Rep1.R2.fastq.gz	fwd
GSN2JT_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GSN2JT_Rep2.R1.fastq.gz	LIFEPLAN-00001/GSN2JT_Rep2.R2.fastq.gz	fwd
GSN2JT_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GSN2JT_Rep3.R1.fastq.gz	LIFEPLAN-00001/GSN2JT_Rep3.R2.fastq.gz	fwd
GD4O7F_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GD4O7F_Rep1.R1.fastq.gz	LIFEPLAN-00001/GD4O7F_Rep1.R2.fastq.gz	fwd
GD4O7F_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GD4O7F_Rep2.R1.fastq.gz	LIFEPLAN-00001/GD4O7F_Rep2.R2.fastq.gz	fwd
GD4O7F_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GD4O7F_Rep3.R1.fastq.gz	LIFEPLAN-00001/GD4O7F_Rep3.R2.fastq.gz	fwd
GM7AGU_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GM7AGU_Rep1.R1.fastq.gz	LIFEPLAN-00001/GM7AGU_Rep1.R2.fastq.gz	fwd
GM7AGU_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GM7AGU_Rep2.R1.fastq.gz	LIFEPLAN-00001/GM7AGU_Rep2.R2.fastq.gz	fwd
GM7AGU_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GM7AGU_Rep3.R1.fastq.gz	LIFEPLAN-00001/GM7AGU_Rep3.R2.fastq.gz	fwd
GKWZB5_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GKWZB5_Rep1.R1.fastq.gz	LIFEPLAN-00001/GKWZB5_Rep1.R2.fastq.gz	fwd
GKWZB5_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/GKWZB5_Rep2.R1.fastq.gz	LIFEPLAN-00001/GKWZB5_Rep2.R2.fastq.gz	fwd
GKWZB5_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/GKWZB5_Rep3.R1.fastq.gz	LIFEPLAN-00001/GKWZB5_Rep3.R2.fastq.gz	fwd
G7M5KB_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/G7M5KB_Rep1.R1.fastq.gz	LIFEPLAN-00001/G7M5KB_Rep1.R2.fastq.gz	fwd
G7M5KB_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/G7M5KB_Rep2.R1.fastq.gz	LIFEPLAN-00001/G7M5KB_Rep2.R2.fastq.gz	fwd
G7M5KB_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/G7M5KB_Rep3.R1.fastq.gz	LIFEPLAN-00001/G7M5KB_Rep3.R2.fastq.gz	fwd
G8H3YU_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/G8H3YU_Rep1.R1.fastq.gz	LIFEPLAN-00001/G8H3YU_Rep1.R2.fastq.gz	fwd
G8H3YU_Rep2	LIFEPLAN-00001	LIFEPLAN-00001/G8H3YU_Rep2.R1.fastq.gz	LIFEPLAN-00001/G8H3YU_Rep2.R2.fastq.gz	fwd
G8H3YU_Rep3	LIFEPLAN-00001	LIFEPLAN-00001/G8H3YU_Rep3.R1.fastq.gz	LIFEPLAN-00001/G8H3YU_Rep3.R2.fastq.gz	fwd
GH7C9C_Rep1	LIFEPLAN-00001	LIFEPLAN-00001/GH7C9C_Rep1.R1.fastq.gz	LIFEPLAN-00001/GH7C9C_Rep1.R2.fastq.gz	fwd
